" 3D Run ID"	"Dist"	"L_ant2"	"W_ant2"	"Tables\0D Results\S1,1_2.45GHz"	"Tables\0D Results\S1,1_5.5GHz"	"Tables\0D Results\S1,1_6.5GHz"
"188"	"1.46447"	"17.3944"	"1.5"	"-8.48299"	"-10.0705"	"-11.4109"
"189"	"1.49921"	"17.4196"	"1.5"	"-8.36621"	"-9.86804"	"-11.4554"
"190"	"1.46253"	"17.3528"	"1.5"	"-8.47601"	"-10.1403"	"-11.3744"
"191"	"1.46958"	"17.4005"	"1.5"	"-8.45467"	"-10.0299"	"-11.4219"
"192"	"1.50229"	"17.3739"	"1.5"	"-8.36849"	"-9.88004"	"-11.4178"
"193"	"1.44488"	"17.4199"	"1.5"	"-8.46931"	"-10.2207"	"-11.4434"
"194"	"1.43391"	"17.4043"	"1.5"	"-8.46063"	"-10.3178"	"-11.4404"
"195"	"1.43999"	"17.3538"	"1.5"	"-8.46169"	"-10.2827"	"-11.3982"
"196"	"1.49804"	"17.4074"	"1.5"	"-8.3626"	"-9.90704"	"-11.4437"
"197"	"1.46691"	"17.3872"	"1.5"	"-8.45112"	"-10.0579"	"-11.4121"
"198"	"1.44185"	"17.4"	"1.5"	"-8.4673"	"-10.2326"	"-11.4344"
"199"	"1.48194"	"17.3919"	"1.5"	"-8.52453"	"-9.988"	"-11.4127"
"200"	"1.44746"	"17.3809"	"1.5"	"-8.46957"	"-10.2048"	"-11.4141"
"201"	"1.47292"	"17.4508"	"1.5"	"-8.51465"	"-10.005"	"-11.4596"
"202"	"1.49154"	"17.3696"	"1.5"	"-8.35144"	"-9.95101"	"-11.4243"
"203"	"1.48558"	"17.4009"	"1.5"	"-8.5308"	"-9.93358"	"-11.4189"
"204"	"1.46523"	"17.3756"	"1.5"	"-8.45116"	"-10.0531"	"-11.4086"
"205"	"1.4676"	"17.4088"	"1.5"	"-8.45539"	"-10.0128"	"-11.4349"
"206"	"1.45694"	"17.4354"	"1.5"	"-8.48072"	"-10.0941"	"-11.45"
"207"	"1.44788"	"17.4513"	"1.5"	"-8.47372"	"-10.1742"	"-11.4661"
"208"	"1.47422"	"17.413"	"1.5"	"-8.51451"	"-10.0235"	"-11.4294"
"209"	"1.46546"	"17.4447"	"1.5"	"-8.4518"	"-10.0263"	"-11.463"
"210"	"1.47243"	"17.4181"	"1.5"	"-8.51212"	"-10.0318"	"-11.4342"
"211"	"1.48113"	"17.4092"	"1.5"	"-8.52513"	"-9.95625"	"-11.4275"
"212"	"1.46363"	"17.3863"	"1.5"	"-8.48193"	"-10.0825"	"-11.4052"
"213"	"1.47059"	"17.4235"	"1.5"	"-8.4592"	"-9.98207"	"-11.4457"
"214"	"1.45524"	"17.4365"	"1.5"	"-8.47765"	"-10.1311"	"-11.4476"
"215"	"1.45994"	"17.4173"	"1.5"	"-8.48155"	"-10.0861"	"-11.433"
"216"	"1.49281"	"17.3819"	"1.5"	"-8.35298"	"-9.95805"	"-11.4291"
